Rule,Author,Description,Strings,CVE
Codoso_PlugX_3,Florian Roth,Detects Codoso APT PlugX Malware,"$s3 = ""McAltLib.dll"" fullword ascii",CVE not found
Codoso_PlugX_3,Florian Roth,Detects Codoso APT PlugX Malware,"$s4 = ""WinRAR self-extracting archive"" fullword wide",CVE-2019-1010266
Codoso_PlugX_2,Florian Roth,Detects Codoso APT PlugX Malware,"$s1 = ""%TEMP%\\HID"" fullword wide",CVE not found
Codoso_PlugX_2,Florian Roth,Detects Codoso APT PlugX Malware,"$s2 = ""%s\\hid.dll"" fullword wide",CVE not found
Codoso_PlugX_2,Florian Roth,Detects Codoso APT PlugX Malware,"$s3 = ""%s\\SOUNDMAN.exe"" fullword wide",CVE not found
Codoso_PlugX_2,Florian Roth,Detects Codoso APT PlugX Malware,"$s4 = ""\""%s\\SOUNDMAN.exe\"" %d %d"" fullword wide",CVE not found
Codoso_PlugX_2,Florian Roth,Detects Codoso APT PlugX Malware,"$s5 = ""%s\\HID.dllx"" fullword wide",CVE not found
Codoso_CustomTCP_4,Florian Roth,Detects Codoso APT CustomTCP Malware,"$x1 = ""varus_service_x86.dll"" fullword ascii",CVE not found
Codoso_CustomTCP_4,Florian Roth,Detects Codoso APT CustomTCP Malware,"$s1 = ""/s %s /p %d /st %d /rt %d"" fullword ascii",CVE not found
Codoso_CustomTCP_4,Florian Roth,Detects Codoso APT CustomTCP Malware,"$s2 = ""net start %%1"" fullword ascii",CVE not found
Codoso_CustomTCP_4,Florian Roth,Detects Codoso APT CustomTCP Malware,"$s3 = ""ping 127.1 > nul"" fullword ascii",CVE not found
Codoso_CustomTCP_4,Florian Roth,Detects Codoso APT CustomTCP Malware,"$s4 = ""McInitMISPAlertEx"" fullword ascii",CVE not found
Codoso_CustomTCP_4,Florian Roth,Detects Codoso APT CustomTCP Malware,"$s5 = ""sc start %%1"" fullword ascii",CVE not found
Codoso_CustomTCP_4,Florian Roth,Detects Codoso APT CustomTCP Malware,"$s6 = ""net stop %%1"" fullword ascii",CVE not found
Codoso_CustomTCP_4,Florian Roth,Detects Codoso APT CustomTCP Malware,"$s7 = ""WorkerRun"" fullword ascii",CVE not found
Codoso_CustomTCP_3,Florian Roth,Detects Codoso APT CustomTCP Malware,"$s1 = ""DnsApi.dll"" fullword ascii",CVE not found
Codoso_CustomTCP_3,Florian Roth,Detects Codoso APT CustomTCP Malware,"$s2 = ""softWARE\\Microsoft\\Windows\\CurrentVersion\\Internet Settings\\ZoneMap\\Domains\\%s"" ascii",CVE not found
Codoso_CustomTCP_3,Florian Roth,Detects Codoso APT CustomTCP Malware,"$s3 = ""CONNECT %s:%d hTTP/1.1"" ascii",CVE not found
Codoso_CustomTCP_3,Florian Roth,Detects Codoso APT CustomTCP Malware,"$s4 = ""CONNECT %s:%d HTTp/1.1"" ascii",CVE not found
Codoso_CustomTCP_3,Florian Roth,Detects Codoso APT CustomTCP Malware,"$s5 = ""Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/4.0;)"" ascii",CVE not found
Codoso_CustomTCP_3,Florian Roth,Detects Codoso APT CustomTCP Malware,"$s6 = ""iphlpapi.dll"" ascii",CVE not found
Codoso_CustomTCP_3,Florian Roth,Detects Codoso APT CustomTCP Malware,"$s7 = ""%systemroot%\\Web\\"" ascii",CVE not found
Codoso_CustomTCP_3,Florian Roth,Detects Codoso APT CustomTCP Malware,"$s8 = ""Proxy-Authorization: Negotiate %s"" ascii",CVE not found
Codoso_CustomTCP_3,Florian Roth,Detects Codoso APT CustomTCP Malware,"$s9 = ""CLSID\\{%s}\\InprocServer32"" ascii",CVE not found
Codoso_CustomTCP_2,Florian Roth,Detects Codoso APT CustomTCP Malware,"$s1 = ""varus_service_x86.dll"" fullword ascii",CVE not found
Codoso_CustomTCP_2,Florian Roth,Detects Codoso APT CustomTCP Malware,"$s2 = ""/s %s /p %d /st %d /rt %d"" fullword ascii",CVE not found
Codoso_CustomTCP_2,Florian Roth,Detects Codoso APT CustomTCP Malware,"$s3 = ""net start %%1"" fullword ascii",CVE not found
Codoso_CustomTCP_2,Florian Roth,Detects Codoso APT CustomTCP Malware,"$s4 = ""ping 127.1 > nul"" fullword ascii",CVE not found
Codoso_CustomTCP_2,Florian Roth,Detects Codoso APT CustomTCP Malware,"$s5 = ""McInitMISPAlertEx"" fullword ascii",CVE not found
Codoso_CustomTCP_2,Florian Roth,Detects Codoso APT CustomTCP Malware,"$s6 = ""sc start %%1"" fullword ascii",CVE not found
Codoso_CustomTCP_2,Florian Roth,Detects Codoso APT CustomTCP Malware,"$s7 = ""B_WKNDNSK^"" fullword ascii",CVE not found
Codoso_CustomTCP_2,Florian Roth,Detects Codoso APT CustomTCP Malware,"$s8 = ""net stop %%1"" fullword ascii",CVE not found
Codoso_PGV_PVID_6,Florian Roth,Detects Codoso APT PGV_PVID Malware,"$s0 = ""rundll32 \""%s\"",%s"" fullword ascii",CVE not found
Codoso_PGV_PVID_6,Florian Roth,Detects Codoso APT PGV_PVID Malware,"$s1 = ""/c ping 127.%d & del \""%s\"""" fullword ascii",CVE not found
Codoso_Gh0st_3,Florian Roth,Detects Codoso APT Gh0st Malware,"$x1 = ""RunMeByDLL32"" fullword ascii",CVE not found
Codoso_Gh0st_3,Florian Roth,Detects Codoso APT Gh0st Malware,"$s1 = ""svchost.dll"" fullword wide",CVE not found
Codoso_Gh0st_3,Florian Roth,Detects Codoso APT Gh0st Malware,"$s2 = ""server.dll"" fullword ascii",CVE not found
Codoso_Gh0st_3,Florian Roth,Detects Codoso APT Gh0st Malware,"$s3 = ""Copyright ? 2008"" fullword wide",CVE not found
Codoso_Gh0st_3,Florian Roth,Detects Codoso APT Gh0st Malware,"$s4 = ""testsupdate33"" fullword ascii",CVE not found
Codoso_Gh0st_3,Florian Roth,Detects Codoso APT Gh0st Malware,"$s5 = ""Device Protect Application"" fullword wide",CVE not found
Codoso_Gh0st_3,Florian Roth,Detects Codoso APT Gh0st Malware,"$s6 = ""MSVCP60.DLL"" fullword ascii /* Goodware String - occured 1 times */",CVE not found
Codoso_Gh0st_3,Florian Roth,Detects Codoso APT Gh0st Malware,"$s7 = ""_x001F_mail-news.eicp.net"" fullword ascii",CVE not found
Codoso_Gh0st_2,Florian Roth,Detects Codoso APT Gh0st Malware,"$s0 = ""cmd.exe /c ping 127.0.0.1 && ping 127.0.0.1 && sc start %s && ping 127.0.0.1 && sc start %s"" fullword ascii",CVE not found
Codoso_Gh0st_2,Florian Roth,Detects Codoso APT Gh0st Malware,"$s1 = ""rundll32.exe \""%s\"", RunMeByDLL32"" fullword ascii",CVE not found
Codoso_Gh0st_2,Florian Roth,Detects Codoso APT Gh0st Malware,"$s13 = ""Elevation:Administrator!new:{3ad05575-8857-4850-9277-11b85bdb8e09}"" fullword wide",CVE not found
Codoso_Gh0st_2,Florian Roth,Detects Codoso APT Gh0st Malware,"$s14 = ""%s -r debug 1"" fullword ascii",CVE not found
Codoso_Gh0st_2,Florian Roth,Detects Codoso APT Gh0st Malware,"$s15 = ""\\\\.\\keymmdrv1"" fullword ascii",CVE not found
Codoso_Gh0st_2,Florian Roth,Detects Codoso APT Gh0st Malware,"$s17 = ""RunMeByDLL32"" fullword ascii",CVE not found
Codoso_CustomTCP,Florian Roth,Codoso CustomTCP Malware,"$s4 = ""wnyglw"" fullword ascii",CVE not found
Codoso_CustomTCP,Florian Roth,Codoso CustomTCP Malware,"$s5 = ""WorkerRun"" fullword ascii",CVE not found
Codoso_CustomTCP,Florian Roth,Codoso CustomTCP Malware,"$s7 = ""boazdcd"" fullword ascii",CVE not found
Codoso_CustomTCP,Florian Roth,Codoso CustomTCP Malware,"$s8 = ""wayflw"" fullword ascii",CVE not found
Codoso_CustomTCP,Florian Roth,Codoso CustomTCP Malware,"$s9 = ""CODETABL"" fullword ascii",CVE not found
Codoso_PGV_PVID_5,Florian Roth,Detects Codoso APT PGV PVID Malware,"$s1 = ""/c del %s >> NUL"" fullword ascii",CVE not found
Codoso_PGV_PVID_5,Florian Roth,Detects Codoso APT PGV PVID Malware,"$s2 = ""%s%s.manifest"" fullword ascii",CVE not found
Codoso_Gh0st_1,Florian Roth,Detects Codoso APT Gh0st Malware,"$x1 = ""cmd.exe /c ping 127.0.0.1 && ping 127.0.0.1 && sc start %s && ping 127.0.0.1 && sc start %s"" fullword ascii",CVE not found
Codoso_Gh0st_1,Florian Roth,Detects Codoso APT Gh0st Malware,"$x2 = ""rundll32.exe \""%s\"", RunMeByDLL32"" fullword ascii",CVE not found
Codoso_Gh0st_1,Florian Roth,Detects Codoso APT Gh0st Malware,"$x3 = ""Elevation:Administrator!new:{3ad05575-8857-4850-9277-11b85bdb8e09}"" fullword wide",CVE not found
Codoso_Gh0st_1,Florian Roth,Detects Codoso APT Gh0st Malware,"$x4 = ""\\\\.\\keymmdrv1"" fullword ascii",CVE not found
Codoso_Gh0st_1,Florian Roth,Detects Codoso APT Gh0st Malware,"$s1 = ""spideragent.exe"" fullword ascii",CVE not found
Codoso_Gh0st_1,Florian Roth,Detects Codoso APT Gh0st Malware,"$s2 = ""AVGIDSAgent.exe"" fullword ascii",CVE not found
Codoso_Gh0st_1,Florian Roth,Detects Codoso APT Gh0st Malware,"$s3 = ""kavsvc.exe"" fullword ascii",CVE not found
Codoso_Gh0st_1,Florian Roth,Detects Codoso APT Gh0st Malware,"$s4 = ""mspaint.exe"" fullword ascii",CVE not found
Codoso_Gh0st_1,Florian Roth,Detects Codoso APT Gh0st Malware,"$s5 = ""kav.exe"" fullword ascii",CVE not found
Codoso_Gh0st_1,Florian Roth,Detects Codoso APT Gh0st Malware,"$s6 = ""avp.exe"" fullword ascii",CVE not found
Codoso_Gh0st_1,Florian Roth,Detects Codoso APT Gh0st Malware,"$s7 = ""NAV.exe"" fullword ascii",CVE not found
Codoso_Gh0st_1,Florian Roth,Detects Codoso APT Gh0st Malware,"$c1 = ""Elevation:Administrator!new:"" wide",CVE not found
Codoso_Gh0st_1,Florian Roth,Detects Codoso APT Gh0st Malware,"$c2 = ""Global\\RUNDLL32EXITEVENT_NAME{12845-8654-543}"" fullword ascii",CVE not found
Codoso_Gh0st_1,Florian Roth,Detects Codoso APT Gh0st Malware,"$c3 = ""\\sysprep\\sysprep.exe"" fullword wide",CVE not found
Codoso_Gh0st_1,Florian Roth,Detects Codoso APT Gh0st Malware,"$c4 = ""\\sysprep\\CRYPTBASE.dll"" fullword wide",CVE not found
Codoso_Gh0st_1,Florian Roth,Detects Codoso APT Gh0st Malware,"$c5 = ""Global\\TERMINATEEVENT_NAME{12845-8654-542}"" fullword ascii",CVE not found
Codoso_Gh0st_1,Florian Roth,Detects Codoso APT Gh0st Malware,"$c6 = ""ConsentPromptBehaviorAdmin"" fullword ascii",CVE not found
Codoso_Gh0st_1,Florian Roth,Detects Codoso APT Gh0st Malware,"$c7 = ""\\sysprep"" fullword wide",CVE not found
Codoso_Gh0st_1,Florian Roth,Detects Codoso APT Gh0st Malware,"$c8 = ""Global\\UN{5FFC0C8B-8BE5-49d5-B9F2-BCDC8976EE10}"" fullword ascii",CVE not found
Codoso_PGV_PVID_4,Florian Roth,Detects Codoso APT PlugX Malware,"$x1 = ""dropper, Version 1.0"" fullword wide",CVE not found
Codoso_PGV_PVID_4,Florian Roth,Detects Codoso APT PlugX Malware,"$x2 = ""dropper"" fullword wide",CVE not found
Codoso_PGV_PVID_4,Florian Roth,Detects Codoso APT PlugX Malware,"$x3 = ""DROPPER"" fullword wide",CVE not found
Codoso_PGV_PVID_4,Florian Roth,Detects Codoso APT PlugX Malware,"$x4 = ""About dropper"" fullword wide",CVE not found
Codoso_PGV_PVID_4,Florian Roth,Detects Codoso APT PlugX Malware,"$s1 = ""Microsoft Windows Manager Utility"" fullword wide",CVE not found
Codoso_PGV_PVID_4,Florian Roth,Detects Codoso APT PlugX Malware,"$s2 = ""SYSTEM\\CurrentControlSet\\Services\\"" fullword ascii /* Goodware String - occured 9 times */",CVE not found
Codoso_PGV_PVID_4,Florian Roth,Detects Codoso APT PlugX Malware,"$s3 = ""SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\Winlogon\\Notify"" fullword ascii /* Goodware String - occured 10 times */",CVE not found
Codoso_PGV_PVID_4,Florian Roth,Detects Codoso APT PlugX Malware,"$s4 = ""<assembly xmlns=\""urn:schemas-microsoft-com:asm.v1\"" manifestVersion=\""1.0\""><trustInfo xmlns=\""urn:schemas-microsoft-com:asm.v3"" ascii /* Goodware String - occured 46 times */",CVE not found
Codoso_PGV_PVID_4,Florian Roth,Detects Codoso APT PlugX Malware,"$s5 = ""<supportedOS Id=\""{e2011457-1546-43c5-a5fe-008deee3d3f0}\""></supportedOS>"" fullword ascii /* Goodware String - occured 65 times */",CVE not found
Codoso_PlugX_1,Florian Roth,Detects Codoso APT PlugX Malware,"$s1 = ""GETPASSWORD1"" fullword ascii",CVE not found
Codoso_PlugX_1,Florian Roth,Detects Codoso APT PlugX Malware,"$s2 = ""NvSmartMax.dll"" fullword ascii",CVE not found
Codoso_PlugX_1,Florian Roth,Detects Codoso APT PlugX Malware,"$s3 = ""LICENSEDLG"" fullword ascii",CVE not found
Codoso_PGV_PVID_3,Florian Roth,Detects Codoso APT PGV PVID Malware,"$x1 = ""Copyright (C) Microsoft Corporation.  All rights reserved.(C) 2012"" fullword wide",CVE not found
Codoso_PGV_PVID_2,Florian Roth,Detects Codoso APT PGV PVID Malware,"$s0 = ""SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\SvcHost"" fullword ascii",CVE not found
Codoso_PGV_PVID_2,Florian Roth,Detects Codoso APT PGV PVID Malware,"$s1 = ""regsvr32.exe /s \""%s\"""" fullword ascii",CVE not found
Codoso_PGV_PVID_2,Florian Roth,Detects Codoso APT PGV PVID Malware,"$s2 = ""Help and Support"" fullword ascii",CVE not found
Codoso_PGV_PVID_2,Florian Roth,Detects Codoso APT PGV PVID Malware,"$s3 = ""netsvcs"" fullword ascii",CVE not found
Codoso_PGV_PVID_2,Florian Roth,Detects Codoso APT PGV PVID Malware,"$s9 = ""%SystemRoot%\\System32\\svchost.exe -k netsvcs"" fullword ascii /* Goodware String - occured 4 times */",CVE not found
Codoso_PGV_PVID_2,Florian Roth,Detects Codoso APT PGV PVID Malware,"$s10 = ""winlogon"" fullword ascii /* Goodware String - occured 4 times */",CVE not found
Codoso_PGV_PVID_2,Florian Roth,Detects Codoso APT PGV PVID Malware,"$s11 = ""System\\CurrentControlSet\\Services"" fullword ascii /* Goodware String - occured 11 times */",CVE not found
Codoso_PGV_PVID_1,Florian Roth,Detects Codoso APT PGV PVID Malware,"$x1 = ""Cookie: pgv_pvid="" ascii",CVE not found
Codoso_PGV_PVID_1,Florian Roth,Detects Codoso APT PGV PVID Malware,"$x2 = ""DRIVERS\\ipinip.sys"" fullword wide",CVE not found
Codoso_PGV_PVID_1,Florian Roth,Detects Codoso APT PGV PVID Malware,"$s1 = ""TsWorkSpaces.dll"" fullword ascii",CVE not found
Codoso_PGV_PVID_1,Florian Roth,Detects Codoso APT PGV PVID Malware,"$s2 = ""%SystemRoot%\\System32\\wiaservc.dll"" fullword wide",CVE not found
Codoso_PGV_PVID_1,Florian Roth,Detects Codoso APT PGV PVID Malware,"$s3 = ""/selfservice/microsites/search.php?%016I64d"" fullword ascii",CVE-2019-1010266
Codoso_PGV_PVID_1,Florian Roth,Detects Codoso APT PGV PVID Malware,"$s4 = ""/solutions/company-size/smb/index.htm?%016I64d"" fullword ascii",CVE not found
Codoso_PGV_PVID_1,Florian Roth,Detects Codoso APT PGV PVID Malware,"$s5 = ""Microsoft Chart ActiveX Control"" fullword wide",CVE not found
Codoso_PGV_PVID_1,Florian Roth,Detects Codoso APT PGV PVID Malware,"$s6 = ""MSChartCtrl.ocx"" fullword wide",CVE not found
Codoso_PGV_PVID_1,Florian Roth,Detects Codoso APT PGV PVID Malware,"$s7 = ""{%08X-%04X-%04x-%02X%02X-%02X%02X%02X%02X%02X%02X}"" fullword ascii",CVE not found
Codoso_PGV_PVID_1,Florian Roth,Detects Codoso APT PGV PVID Malware,"$s8 = ""WUServiceMain"" fullword ascii /* Goodware String - occured 2 times */",CVE not found
dragos_crashoverride_suspcious,Dragos Inc,CRASHOVERRIDE v1 Wiper,"$s0 = ""SYS_BASCON.COM"" fullword nocase wide",CVE not found
dragos_crashoverride_suspcious,Dragos Inc,CRASHOVERRIDE v1 Wiper,"$s1 = "".pcmp"" fullword nocase wide",CVE not found
dragos_crashoverride_suspcious,Dragos Inc,CRASHOVERRIDE v1 Wiper,"$s2 = "".pcmi"" fullword nocase wide",CVE not found
dragos_crashoverride_suspcious,Dragos Inc,CRASHOVERRIDE v1 Wiper,"$s3 = "".pcmt"" fullword nocase wide",CVE not found
dragos_crashoverride_suspcious,Dragos Inc,CRASHOVERRIDE v1 Wiper,"$s4 = "".cin"" fullword nocase wide",CVE not found
dragos_crashoverride_name_search,Dragos Inc,CRASHOVERRIDE v1 Suspicious Strings and Export,"$s0 = ""101.dll"" fullword nocase wide",CVE not found
dragos_crashoverride_name_search,Dragos Inc,CRASHOVERRIDE v1 Suspicious Strings and Export,"$s1 = ""Crash101.dll"" fullword nocase wide",CVE not found
dragos_crashoverride_name_search,Dragos Inc,CRASHOVERRIDE v1 Suspicious Strings and Export,"$s2 = ""104.dll"" fullword nocase wide",CVE not found
dragos_crashoverride_name_search,Dragos Inc,CRASHOVERRIDE v1 Suspicious Strings and Export,"$s3 = ""Crash104.dll"" fullword nocase wide",CVE not found
dragos_crashoverride_name_search,Dragos Inc,CRASHOVERRIDE v1 Suspicious Strings and Export,"$s4 = ""61850.dll"" fullword nocase wide",CVE not found
dragos_crashoverride_name_search,Dragos Inc,CRASHOVERRIDE v1 Suspicious Strings and Export,"$s5 = ""Crash61850.dll"" fullword nocase wide",CVE not found
dragos_crashoverride_name_search,Dragos Inc,CRASHOVERRIDE v1 Suspicious Strings and Export,"$s6 = ""OPCClientDemo.dll"" fullword nocase wide",CVE not found
dragos_crashoverride_name_search,Dragos Inc,CRASHOVERRIDE v1 Suspicious Strings and Export,"$s7 = ""OPC"" fullword nocase wide",CVE not found
dragos_crashoverride_name_search,Dragos Inc,CRASHOVERRIDE v1 Suspicious Strings and Export,"$s8 = ""CrashOPCClientDemo.dll"" fullword nocase wide",CVE not found
dragos_crashoverride_name_search,Dragos Inc,CRASHOVERRIDE v1 Suspicious Strings and Export,"$s9 = ""D2MultiCommService.exe"" fullword nocase wide",CVE not found
dragos_crashoverride_name_search,Dragos Inc,CRASHOVERRIDE v1 Suspicious Strings and Export,"$s10 = ""CrashD2MultiCommService.exe"" fullword nocase wide",CVE not found
dragos_crashoverride_name_search,Dragos Inc,CRASHOVERRIDE v1 Suspicious Strings and Export,"$s11 = ""61850.exe"" fullword nocase wide",CVE not found
dragos_crashoverride_name_search,Dragos Inc,CRASHOVERRIDE v1 Suspicious Strings and Export,"$s12 = ""OPC.exe"" fullword nocase wide",CVE not found
dragos_crashoverride_name_search,Dragos Inc,CRASHOVERRIDE v1 Suspicious Strings and Export,"$s13 = ""haslo.exe"" fullword nocase wide",CVE not found
dragos_crashoverride_name_search,Dragos Inc,CRASHOVERRIDE v1 Suspicious Strings and Export,"$s14 = ""haslo.dat"" fullword nocase wide",CVE not found
dragos_crashoverride_moduleStrings,Dragos Inc,IEC-104 Interaction Module Program Strings,"$s1 = ""IEC-104 client: ip=%s; port=%s; ASDU=%u"" nocase wide ascii",CVE not found
dragos_crashoverride_moduleStrings,Dragos Inc,IEC-104 Interaction Module Program Strings,"$s2 = "" MSTR ->> SLV"" nocase wide ascii",CVE not found
dragos_crashoverride_moduleStrings,Dragos Inc,IEC-104 Interaction Module Program Strings,"$s3 = "" MSTR <<- SLV"" nocase wide ascii",CVE not found
dragos_crashoverride_moduleStrings,Dragos Inc,IEC-104 Interaction Module Program Strings,"$s4 = ""Unknown APDU format !!!"" nocase wide ascii",CVE not found
dragos_crashoverride_moduleStrings,Dragos Inc,IEC-104 Interaction Module Program Strings,"$s5 = ""iec104.log"" nocase wide ascii",CVE not found
dragos_crashoverride_configReader,Dragos Inc,CRASHOVERRIDE v1 Config File Parsing,$s0 = { 68 e8 ?? ?? ?? 6a 00 e8 a3 ?? ?? ?? 8b f8 83 c4 ?8 },CVE not found
dragos_crashoverride_configReader,Dragos Inc,CRASHOVERRIDE v1 Config File Parsing,$s1 = { 8a 10 3a 11 75 ?? 84 d2 74 12 },CVE not found
dragos_crashoverride_configReader,Dragos Inc,CRASHOVERRIDE v1 Config File Parsing,$s2 = { 33 c0 eb ?? 1b c0 83 c8 ?? },CVE not found
dragos_crashoverride_configReader,Dragos Inc,CRASHOVERRIDE v1 Config File Parsing,$s3 = { 85 c0 75 ?? 8d 95 ?? ?? ?? ?? 8b cf ?? ?? },CVE not found
dragos_crashoverride_weirdMutex,Dragos Inc,Blank mutex creation assoicated with CRASHOVERRIDE,$s1 = { 81 ec 08 02 00 00 57 33 ff 57 57 57 ff 15 ?? ?? 40 00 a3 ?? ?? ?? 00 85 c0 },CVE not found
dragos_crashoverride_weirdMutex,Dragos Inc,Blank mutex creation assoicated with CRASHOVERRIDE,$s2 = { 8d 85 ?? ?? ?? ff 50 57 57 6a 2e 57 ff 15 ?? ?? ?? 00 68 ?? ?? 40 00},CVE not found
dragos_crashoverride_serviceStomper,Dragos Inc,Identify service hollowing and persistence setting,$s0 = { 33 c9 51 51 51 51 51 51 ?? ?? ?? },CVE not found
dragos_crashoverride_serviceStomper,Dragos Inc,Identify service hollowing and persistence setting,$s1 = { 6a ff 6a ff 6a ff 50 ff 15 24 ?? 40 00 ff ?? ?? ff 15 20 ?? 40 00 },CVE not found
dragos_crashoverride_wiperModuleRegistry,Dragos Inc,Registry Wiper functionality assoicated with CRASHOVERRIDE,$s0 = { 8d 85 a0 ?? ?? ?? 46 50 8d 85 a0 ?? ?? ?? 68 68 0d ?? ?? 50 },CVE not found
dragos_crashoverride_wiperModuleRegistry,Dragos Inc,Registry Wiper functionality assoicated with CRASHOVERRIDE,$s1 = { 6a 02 68 78 0b ?? ?? 6a 02 50 68 b4 0d ?? ?? ff b5 98 ?? ?? ?? ff 15 04 ?? ?? ?? },CVE not found
dragos_crashoverride_wiperModuleRegistry,Dragos Inc,Registry Wiper functionality assoicated with CRASHOVERRIDE,$s2 = { 68 00 02 00 00 8d 85 a0 ?? ?? ?? 50 56 ff b5 9c ?? ?? ?? ff 15 00 ?? ?? ?? 85 c0 },CVE not found
dragos_crashoverride_wiperFileManipulation,Dragos Inc,File manipulation actions associated with CRASHOVERRIDE wiper,$s0 = { 6a 00 68 80 00 00 00 6a 03 6a 00 6a 02 8b f9 68 00 00 00 40 57 ff 15 1c ?? ?? ?? 8b d8 },CVE not found
dragos_crashoverride_wiperFileManipulation,Dragos Inc,File manipulation actions associated with CRASHOVERRIDE wiper,$s2 = { 6a 00 50 57 56 53 ff 15 4c ?? ?? ?? 56 },CVE not found
Anthem_DeepPanda_sl_txt_packed,Florian Roth,Anthem Hack Deep Panda - ScanLine sl-txt-packed,"$s0 = ""Command line port scanner"" fullword wide",CVE not found
Anthem_DeepPanda_sl_txt_packed,Florian Roth,Anthem Hack Deep Panda - ScanLine sl-txt-packed,"$s1 = ""sl.exe"" fullword wide",CVE not found
Anthem_DeepPanda_sl_txt_packed,Florian Roth,Anthem Hack Deep Panda - ScanLine sl-txt-packed,"$s2 = ""CPports.txt"" fullword ascii",CVE not found
Anthem_DeepPanda_sl_txt_packed,Florian Roth,Anthem Hack Deep Panda - ScanLine sl-txt-packed,"$s3 = "",GET / HTTP/.}"" fullword ascii",CVE not found
Anthem_DeepPanda_sl_txt_packed,Florian Roth,Anthem Hack Deep Panda - ScanLine sl-txt-packed,"$s4 = ""Foundstone Inc."" fullword wide",CVE not found
Anthem_DeepPanda_sl_txt_packed,Florian Roth,Anthem Hack Deep Panda - ScanLine sl-txt-packed,"$s9 = "" 2002 Foundstone Inc."" fullword wide",CVE not found
Anthem_DeepPanda_sl_txt_packed,Florian Roth,Anthem Hack Deep Panda - ScanLine sl-txt-packed,"$s15 = "", Inc. 2002"" fullword ascii",CVE not found
Anthem_DeepPanda_sl_txt_packed,Florian Roth,Anthem Hack Deep Panda - ScanLine sl-txt-packed,"$s20 = ""ICMP Time"" fullword ascii",CVE not found
Anthem_DeepPanda_lot1,Florian Roth,Anthem Hack Deep Panda - lot1.tmp-pwdump,"$s0 = ""Unable to open target process: %d, pid %d"" fullword ascii",CVE not found
Anthem_DeepPanda_lot1,Florian Roth,Anthem Hack Deep Panda - lot1.tmp-pwdump,"$s1 = ""Couldn't delete target executable from remote machine: %d"" fullword ascii",CVE not found
Anthem_DeepPanda_lot1,Florian Roth,Anthem Hack Deep Panda - lot1.tmp-pwdump,"$s2 = ""Target: Failed to load SAM functions."" fullword ascii",CVE not found
Anthem_DeepPanda_lot1,Florian Roth,Anthem Hack Deep Panda - lot1.tmp-pwdump,"$s5 = ""Error writing the test file %s, skipping this share"" fullword ascii",CVE not found
Anthem_DeepPanda_lot1,Florian Roth,Anthem Hack Deep Panda - lot1.tmp-pwdump,"$s6 = ""Failed to create service (%s/%s), error %d"" fullword ascii",CVE not found
Anthem_DeepPanda_lot1,Florian Roth,Anthem Hack Deep Panda - lot1.tmp-pwdump,"$s8 = ""Service start failed: %d (%s/%s)"" fullword ascii",CVE not found
Anthem_DeepPanda_lot1,Florian Roth,Anthem Hack Deep Panda - lot1.tmp-pwdump,"$s12 = ""PwDump.exe"" fullword ascii",CVE not found
Anthem_DeepPanda_lot1,Florian Roth,Anthem Hack Deep Panda - lot1.tmp-pwdump,"$s13 = ""GetAvailableWriteableShare returned an error of %ld"" fullword ascii",CVE not found
Anthem_DeepPanda_lot1,Florian Roth,Anthem Hack Deep Panda - lot1.tmp-pwdump,"$s14 = "":\\\\.\\pipe\\%s"" fullword ascii",CVE not found
Anthem_DeepPanda_lot1,Florian Roth,Anthem Hack Deep Panda - lot1.tmp-pwdump,"$s15 = ""Couldn't copy %s to destination %s. (Error %d)"" fullword ascii",CVE not found
Anthem_DeepPanda_lot1,Florian Roth,Anthem Hack Deep Panda - lot1.tmp-pwdump,"$s16 = ""dump logon session"" fullword ascii",CVE not found
Anthem_DeepPanda_lot1,Florian Roth,Anthem Hack Deep Panda - lot1.tmp-pwdump,"$s17 = ""Timed out waiting to get our pipe back"" fullword ascii",CVE not found
Anthem_DeepPanda_lot1,Florian Roth,Anthem Hack Deep Panda - lot1.tmp-pwdump,"$s19 = ""SetNamedPipeHandleState failed, error %d"" fullword ascii",CVE not found
Anthem_DeepPanda_lot1,Florian Roth,Anthem Hack Deep Panda - lot1.tmp-pwdump,"$s20 = ""%s\\%s.exe"" fullword ascii",CVE not found
Anthem_DeepPanda_htran_exe,Florian Roth,Anthem Hack Deep Panda - htran-exe,"$s0 = ""%s -<listen|tran|slave> <option> [-log logfile]"" fullword ascii",CVE not found
Anthem_DeepPanda_htran_exe,Florian Roth,Anthem Hack Deep Panda - htran-exe,"$s1 = ""[-] Gethostbyname(%s) error:%s"" fullword ascii",CVE not found
Anthem_DeepPanda_htran_exe,Florian Roth,Anthem Hack Deep Panda - htran-exe,"$s2 = ""e:\\VS 2008 Project\\htran\\Release\\htran.pdb"" fullword ascii",CVE not found
Anthem_DeepPanda_htran_exe,Florian Roth,Anthem Hack Deep Panda - htran-exe,"$s3 = ""[SERVER]connection to %s:%d error"" fullword ascii",CVE not found
Anthem_DeepPanda_htran_exe,Florian Roth,Anthem Hack Deep Panda - htran-exe,"$s4 = ""-tran  <ConnectPort> <TransmitHost> <TransmitPort>"" fullword ascii",CVE not found
